60, 616.0, 120.0, 0
100, 616.0, 120.0, 0
140, 616.0, 120.0, 0
180, 616.0, 120.0, 0
240, 616.0, 360.0, 1
280, 616.0, 360.0, 1
320, 616.0, 360.0, 1
360, 616.0, 360.0, 1
450, 616.0, 120.0, 2
450, 616.0, 360.0, 2
560, 616.0, 120.0, 0
600, 616.0, 120.0, 0
640, 616.0, 120.0, 0
680, 616.0, 120.0, 0
800, 616.0, 360.0, 1
840, 616.0, 360.0, 1
880, 616.0, 360.0, 1
920, 616.0, 360.0, 1
1100, 616.0, 120.0, 2
1100, 616.0, 360.0, 2
1210, 616.0, 120.0, 0
1250, 616.0, 120.0, 0
1290, 616.0, 120.0, 0
1330, 616.0, 120.0, 0
1450, 616.0, 360.0, 1
1490, 616.0, 360.0, 1
1530, 616.0, 360.0, 1
1570, 616.0, 360.0, 1
1750, 616.0, 120.0, 2
1750, 616.0, 360.0, 2
